Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	groupSize	ridersAheadOfGroup	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	rankInGroup
1.11562502	1.06688178	0.61165047	0.57379168	0.37282282	190.28459167	32.83257675	225.03141785	0.00000000	0.02027228	0.00000000	1.11450517	1.07615542	0.00000000	0.00000000	26.77014732	0.11003443	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000
1.20000005	1.28524911	0.67718446	0.74339736	0.66979772	96.52001953	2.47330856	190.98556519	0.00000000	0.01527130	0.00000000	1.22380209	1.02794969	0.00000000	0.00000000	1.91140771	0.06997804	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000
1.19687498	1.11199284	0.67475724	0.60882932	0.77079839	15.00611687	6.70615339	48.66177750	0.00000000	0.03354754	0.00000000	0.88101560	1.13258624	0.00000000	0.00000000	29.01543617	2.54158020	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000
0.82187498	0.88052630	0.38349512	0.42904955	0.42663020	82.76313782	0.00000000	79.24244690	10.18189907	0.00000000	0.03395664	0.63999999	0.78461438	0.00000000	-0.52632791	3.48136401	0.01790101	4.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.75000000
0.51562500	0.52872634	0.14563106	0.15580687	0.90992367	17.56458282	0.00000000	57.96109772	57.96109772	0.00000000	0.07157548	0.75618875	0.98417222	9.39735603	-4.07047367	0.91339797	-0.31648690	1.00000000	1.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000
1.15625000	1.14434028	0.64320385	0.63395357	0.70767951	27.12602615	10.82521343	57.31673431	0.00000000	0.03610209	0.00000000	1.02635419	1.06091654	0.00000000	0.00000000	23.86683846	1.30615306	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000
0.76562500	0.80770731	0.33980581	0.37249112	0.01853994	305.95498657	0.00000000	356.97262573	21.01857185	0.00000000	0.04325931	0.91929346	0.66480374	0.00000000	-0.54928768	0.00000000	0.15909237	18.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.27777779
0.69687498	0.65510893	0.28640774	0.25396812	0.12774953	100.42819977	0.00000000	143.28056335	5.88517141	0.00000000	0.02944058	0.93070310	0.93731338	0.00000000	-0.02175370	0.00000000	-0.04211940	4.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.50000000
1.29999995	1.35496509	0.75485432	0.79754567	0.54564190	63.02337646	1.03164208	62.82289886	0.00000000	0.01032158	0.00000000	1.21075523	0.83489364	0.00000000	0.00000000	5.58272886	1.49676442	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	0.00000000
1.08437502	1.02583206	0.58737862	0.54190838	0.51498449	154.01655579	0.00000000	223.12757874	28.41250420	0.00000000	0.03508627	1.08520830	1.06043494	0.00000000	0.00000000	36.20568466	-0.80105335	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000
1.26562500	1.20163012	0.72815531	0.67845052	0.14813821	28.43795013	0.00000000	24.41038895	0.05579385	0.00000000	0.00111011	0.95884979	0.52506834	0.00000000	0.36254042	0.00000000	0.36267635	9.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.11111111
1.31562495	1.28282452	0.76699024	0.74151415	0.60008466	50.64134216	4.68409872	56.78881836	0.00000000	0.02343221	0.00000000	1.13677084	0.89192575	0.00000000	0.00000000	9.81866264	-0.70157313	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000
1.31250000	1.33116353	0.76456308	0.77905899	0.65669656	36.62312317	7.41514206	59.08113480	0.00000000	0.03709426	0.00000000	1.11950517	0.97677189	0.00000000	0.00000000	16.66873550	-3.61664033	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.00000000
1.26562500	1.29411960	0.72815531	0.75028712	0.26612651	248.46411133	0.00000000	259.64208984	34.15699005	0.00000000	0.07030011	1.46778643	0.96767992	0.00000000	0.00000000	15.19028664	3.25443578	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	1.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
