Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	speed	currentSlope	ftpSecondsSavedPerKm	currentDraftPct	currentDrafteeCount	closestDrafteeFtpSecondsSavedPerKm	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	biggestLeechInGroupFtpSecondsSavedPerKm	groupSize	ridersAheadOfGroup	raceTotalLength	pctOfRaceToFinish	negAvgSlopeCurrentDownhill	negAvgSlopeCurrentUphill	instantSlope	heightDeltaInCurrentHill	heightDeltaRemaining	terminalVelocityAtFtp	deltaToTerminalVelocity	victoryMargin	victoryOrLossMargin	distance-passed-250	distanceleft-passed-250	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	distance-passed-7500	distanceleft-passed-7500	distance-passed-10000	distanceleft-passed-10000	distance-passed-15000	distanceleft-passed-15000	aiRatingForDistanceCovered	aiRatingForMapLength	aiRatingForDistanceLeft	rankInGroup
0.97333336	0.78318810	0.42819300	0.34454349	13.32990170	0.02455784	0.00567133	0.00000000	0.00000000	0.00000000	0.47117552	109.94747162	11.04550266	66.09597778	0.00000000	0.02455784	0.00000000	0.78871548	0.93416989	0.00000000	0.00000000	0.00000000	-0.06116390	0.00374881	2.00000000	0.00000000	14992.50000000	0.52882445	0.00000000	-0.02455784	0.94713867	11.04550266	109.94747162	11.68750000	1.64240122	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.94187987	1.00000000	0.70640993	0.79284006	0.47093993	0.52856004	1.16608775	1.03705788	1.14530098	0.00000000
0.46285716	0.42669252	0.20362212	0.18771242	3.63405347	0.04002916	0.00697242	0.00000000	0.00000000	0.00000000	0.69236875	44.11140823	6.00137138	92.91629028	0.00000000	0.04002916	0.00000000	0.63833535	0.89933121	9.21467018	-2.10460544	7.98030710	-2.31895041	0.00000000	1.00000000	18.00000000	14992.50000000	0.30763125	0.00000000	-0.04002916	4.00291586	6.00137138	44.11140823	7.84375000	-4.20969629	0.00000000	-9.21467018	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.92243230	1.00000000	0.61495483	1.00000000	0.46121615	0.69202256	0.30747741	1.09820485	1.03705788	1.24618840	0.00000000
1.11428571	0.89958078	0.49020138	0.39574745	10.69713306	-0.02215566	0.00550542	0.00000000	0.00000000	0.00000000	0.30123469	110.01888275	0.00000000	122.60327911	56.46867371	0.00000000	0.02215566	0.93837535	1.04120016	0.00000000	-0.46772406	8.81418228	-1.18260658	0.00423008	2.00000000	0.00000000	14992.50000000	0.69876534	-0.02215566	0.00000000	0.67739367	-56.46867371	110.01888275	12.03125000	-1.33411705	8.81418228	8.81418228	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.90325218	1.00000000	0.60216814	1.00000000	0.45162609	1.00000000	0.30108407	0.69841594	1.25027561	1.03705788	1.09663224	0.50000000
0.76344085	1.10313690	0.33585620	0.48529676	10.66370296	0.00936003	0.00000000	0.00000000	0.00000000	0.00000000	0.57232243	28.96784782	12.16195774	51.66741562	0.00000000	0.00936003	0.00000000	1.24306500	1.23448646	0.00000000	0.00000000	11.27496910	0.70327741	0.00000000	1.00000000	0.00000000	9995.00000000	0.42767754	0.00000000	-0.00936003	1.61691189	12.16195774	28.96784782	10.78125000	-0.11754695	11.27496910	11.27496910	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.94991934	1.00000000	0.85492742	0.76271504	0.56995159	0.57203627	0.42746371	0.38135752	0.28497580	1.20506525	1.10469770	1.26103449	0.00000000
0.80952382	0.85266548	0.35612923	0.37510827	14.19899654	-0.02603257	0.00410986	0.00000000	0.00000000	0.00000000	0.85499156	18.77531624	0.00000000	37.11680222	19.51466179	0.00000000	0.02603257	1.11772704	0.99632895	4.54895449	-0.50200510	13.70290470	3.27023554	0.00000000	1.00000000	4.00000000	14992.50000000	0.14500841	-0.02603257	0.00000000	-2.61935115	-19.51466179	18.77531624	16.43750000	-2.23850346	0.00000000	-4.54895449	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.86961550	1.00000000	0.62115395	1.00000000	0.48311973	1.00000000	0.43480775	1.00000000	0.28987184	1.00000000	0.21740387	0.85456407	0.14493592	1.06268716	1.03705788	1.40114772	0.00000000
0.65523809	0.90420717	0.28825518	0.39778271	9.29760838	0.02457993	0.00109549	0.00000000	0.00000000	0.00000000	0.13083600	135.12232971	4.91352749	80.85820007	0.00000000	0.02457993	0.00000000	1.11980796	0.75376213	2.29960561	-0.95185453	10.96274376	0.54053307	0.00000000	1.00000000	0.00000000	9995.00000000	0.86916399	0.00000000	-0.02457993	2.49324775	4.91352749	135.12232971	9.62500000	-0.32739133	10.96274376	10.96274376	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.87180388	1.00000000	0.52308232	1.00000000	0.37363023	1.00000000	0.29060128	1.00000000	0.26154116	1.00000000	0.17436078	1.00000000	0.13077058	0.86872941	0.08718039	0.57915294	1.51664782	1.10469770	1.12910235	0.00000000
1.81075263	1.37408447	0.79659414	0.60449320	8.55536652	0.04091323	0.00147843	0.00000000	3.00000000	0.00207720	0.05421232	159.53070068	6.13391542	206.96029663	0.00000000	0.04091323	0.00000000	1.10400283	0.39482924	1.68651903	-0.78853863	0.81067115	1.70369256	0.00497990	9.00000000	0.00000000	14992.50000000	0.94578767	0.00000000	-0.04091323	4.09132242	6.13391542	159.53070068	7.75000000	0.80536640	0.81067115	0.81067115	1.00000000	1.00000000	1.00000000	1.00000000	0.81277812	1.00000000	0.54185212	1.00000000	0.32511124	1.00000000	0.23222232	1.00000000	0.18061736	1.00000000	0.16255562	1.00000000	0.10837042	1.00000000	0.08127781	1.00000000	0.05418521	0.94531476	1.63331437	1.03705788	1.04610455	0.00000000
1.20952380	1.02422142	0.53209895	0.45057991	6.33924866	0.03032841	0.00067546	0.00000000	1.00000000	0.00264814	0.05555057	158.12915039	27.28192520	78.55516052	0.00000000	0.03032841	0.00000000	1.02889156	0.41822991	0.00000000	0.00000000	0.69222707	-1.67454672	0.00264814	2.00000000	0.00000000	9995.00000000	0.94444942	0.00000000	-0.03032841	3.57238173	27.28192520	158.12915039	8.31250000	-1.97325146	0.69222707	0.69222707	1.00000000	1.00000000	1.00000000	1.00000000	0.55522794	1.00000000	0.37015197	1.00000000	0.22209117	1.00000000	0.15863656	1.00000000	0.12338398	1.00000000	0.11104558	1.00000000	0.07403039	1.00000000	0.05552279	0.94397724	0.03701520	0.62931812	1.73324478	1.10469770	1.11458039	0.00000000
1.31827962	1.25404584	0.57994324	0.55168527	9.55027866	0.01223075	0.00051538	0.00000000	1.00000000	0.00483634	0.90844482	5.50108719	5.50108719	36.07370377	0.00000000	0.01223075	0.00000000	1.19237375	1.10431194	0.00000000	0.00000000	0.00000000	0.38728267	0.00483634	2.00000000	0.00000000	14992.50000000	0.09155517	0.00000000	-0.01223075	1.45289111	5.50108719	5.50108719	11.00000000	-1.44972169	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.91509396	1.00000000	0.54905635	1.00000000	0.39218313	1.00000000	0.30503133	1.00000000	0.27452818	1.00000000	0.18301879	1.00000000	0.13726409	0.90799057	0.09150939	1.05269206	1.03705788	1.50523734	0.00000000
0.78476191	0.93540984	0.34523585	0.41150954	9.77832317	0.02863216	0.00046067	0.00000000	0.00000000	0.00000000	0.93866372	17.17070580	17.17070580	0.00000000	0.00000000	0.02863216	0.00000000	0.85074031	1.00119746	9.01066208	-1.85283446	13.23294544	0.28772151	0.00000000	1.00000000	14.00000000	9995.00000000	0.06133627	0.00000000	-0.02863216	0.94374180	17.17070580	17.17070580	11.68750000	-1.90917647	0.00000000	-9.01066208	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.61305600	1.00000000	0.40870401	1.00000000	0.24522240	1.00000000	0.17515886	1.00000000	0.13623467	1.00000000	0.12261120	1.00000000	0.08174080	0.93819439	0.06130560	0.62546295	0.04087040	1.11564815	1.10469770	1.70669019	0.00000000
