Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	speed	currentSlope	ftpSecondsSavedPerKm	currentDraftPct	currentDrafteeCount	closestDrafteeFtpSecondsSavedPerKm	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	biggestLeechInGroupFtpSecondsSavedPerKm	groupSize	ridersAheadOfGroup	raceTotalLength	pctOfRaceToFinish	negAvgSlopeCurrentDownhill	negAvgSlopeCurrentUphill	instantSlope	heightDeltaInCurrentHill	heightDeltaRemaining	terminalVelocityAtFtp	deltaToTerminalVelocity	victoryMargin	victoryOrLossMargin	distance-passed-250	distanceleft-passed-250	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	distance-passed-7500	distanceleft-passed-7500	distance-passed-10000	distanceleft-passed-10000	distance-passed-15000	distanceleft-passed-15000	aiRatingForDistanceCovered	aiRatingForMapLength	aiRatingForDistanceLeft	rankInGroup
0.82857144	0.80449903	0.29799342	0.28793845	8.65957546	0.02542078	0.00526730	0.60468358	0.00000000	0.00000000	0.18573071	141.02465820	8.63874435	175.58215332	0.00000000	0.02542078	0.00000000	1.09666884	1.01123893	0.00000000	0.37968892	5.78901625	0.86401272	0.00452939	5.00000000	2.00000000	16991.50000000	0.81426930	0.00000000	-0.02542078	2.54207826	8.63874435	141.02465820	9.56250000	-0.90292472	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.90166950	1.00000000	0.70129848	1.00000000	0.63116866	1.00000000	0.42077911	1.00000000	0.31558433	1.00000000	0.21038955	0.92237711	1.32209587	1.01702678	1.05011654	0.80000001
0.69499999	0.75308824	0.24220102	0.26646429	14.09385395	-0.03175371	0.00591415	0.00000000	0.00000000	0.00000000	0.37122554	72.73377991	0.00000000	120.53835297	9.52135086	0.00000000	0.03175371	1.15966976	1.06494379	0.19683520	-0.45394444	2.17111444	2.13830757	0.00438863	2.00000000	0.00000000	9995.00000000	0.62877446	-0.03175371	0.00000000	-3.17537141	-9.52135086	72.73377991	17.15625000	-3.06239581	2.17111444	2.17111444	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.82453316	1.00000000	0.74207985	1.00000000	0.49471989	0.83794677	0.37103993	0.62846005	0.24735995	0.41897339	1.28916121	1.10469770	1.18752897	0.50000000
1.97339904	2.15532970	0.77618456	0.85217649	14.50610828	-0.00435345	0.01058048	0.00000000	0.00000000	0.00000000	0.98989123	0.00000000	0.00000000	0.73971713	0.73971713	0.00000000	0.00435345	1.33827591	0.92894238	1.25440085	0.94754702	1.08704317	1.39177287	0.00000000	1.00000000	5.00000000	16991.50000000	0.01010879	-0.00435345	0.00000000	-0.43534538	-0.73971713	-0.73971713	13.56250000	0.94360805	0.00000000	-1.25440085	1.00000000	0.68705404	1.00000000	0.34352702	1.00000000	0.17176351	1.00000000	0.11450901	1.00000000	0.06870540	1.00000000	0.04907529	1.00000000	0.03816967	1.00000000	0.03435270	1.00000000	0.02290180	1.00000000	0.01717635	1.00000000	0.01145090	1.01863825	1.01702678	2.08095217	0.00000000
1.25990343	1.15233874	0.47815952	0.43323007	6.18148232	0.03589775	0.00455197	0.67579067	0.00000000	0.00000000	0.25057414	154.82006836	60.63686752	147.05407715	0.00000000	0.03589775	0.00000000	0.95633769	1.02983379	0.00000000	-1.20093274	1.86496210	-1.74417722	0.00178942	3.00000000	0.00000000	12993.50000000	0.74942583	0.00000000	-0.03589775	5.16393757	60.63686752	154.82006836	6.68750000	-0.50601774	1.86496210	1.86496210	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.93023860	1.00000000	0.72351891	1.00000000	0.65116704	1.00000000	0.43411136	1.00000000	0.32558352	0.97376651	0.21705568	0.64917767	1.31568503	1.06044352	1.10919702	0.66666669
0.95400000	0.93293667	0.35038456	0.34158647	10.57542896	0.00397378	0.00784563	0.00000000	0.00000000	0.00000000	0.88760972	0.79435945	0.79435945	24.43228722	0.00000000	0.00397378	0.00000000	0.87757009	0.92846990	4.98589897	-0.49685326	21.87841225	-0.57996798	0.00000000	1.00000000	0.00000000	9995.00000000	0.11239028	0.00000000	-0.00397378	0.54202461	0.79435945	0.79435945	12.21875000	-1.64332068	21.87841225	21.87841225	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.74889392	1.00000000	0.44933632	1.00000000	0.32095453	1.00000000	0.24963130	1.00000000	0.22466816	1.00000000	0.14977878	0.88716590	0.11233408	0.59144396	0.07488939	1.12541342	1.10469770	1.55299246	0.00000000
0.72421050	0.74326694	0.25440216	0.26236197	14.72668362	-0.02292048	0.00721112	0.00000000	0.00000000	0.00000000	0.86514002	17.68128967	0.00000000	17.86903572	17.86903572	0.00000000	0.02292048	0.77600616	0.90234548	29.59939194	-0.23509642	2.30894542	0.32087478	0.00000000	1.00000000	2.00000000	12993.50000000	0.13485998	-0.02292048	0.00000000	-3.53201842	-17.86903572	17.68128967	17.59375000	-2.86706638	0.00000000	-29.59939194	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.70092130	1.00000000	0.50065809	1.00000000	0.38940072	1.00000000	0.35046065	1.00000000	0.23364043	1.00000000	0.17523032	0.74941313	0.11682022	1.08465457	1.06044352	1.44903457	0.00000000
0.92019707	0.95740700	0.33626518	0.35180765	8.10510826	0.02283144	0.00222976	0.79109120	0.00000000	0.00000000	0.24865535	100.28565216	8.89980793	124.37926483	0.00000000	0.02283144	0.00000000	1.04587162	1.13386893	0.43042213	0.15793160	0.24905786	-0.27140999	0.00676547	4.00000000	1.00000000	12993.50000000	0.75134462	0.00000000	-0.02283144	3.34802747	8.89980793	100.28565216	8.59375000	-0.48864219	0.00000000	-0.43042213	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.92311525	1.00000000	0.71797854	1.00000000	0.64618069	1.00000000	0.43078712	1.00000000	0.32309034	0.97625965	0.21539356	0.65083981	1.31726193	1.06044352	1.10875523	0.50000000
0.76842105	0.76944697	0.27286878	0.27329731	15.20064545	-0.02125690	0.00714398	0.00000000	0.00000000	0.00000000	0.87327039	16.87933731	0.00000000	13.81007576	13.81007576	0.00000000	0.02125690	0.74365324	0.89896899	30.23155212	0.61534816	2.40086842	0.37328997	0.00000000	1.00000000	2.00000000	12993.50000000	0.12672958	-0.02125690	0.00000000	-3.53201842	-13.81007576	16.87933731	17.59375000	-2.39310431	0.00000000	-30.23155212	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.65866435	1.00000000	0.47047451	1.00000000	0.36592463	1.00000000	0.32933217	1.00000000	0.21955477	1.00000000	0.16466609	0.75645596	0.10977738	1.08307469	1.06044352	1.46314371	0.00000000
0.93719804	1.01008832	0.34336644	0.37381250	7.78709316	0.05466693	0.00576284	0.36768210	1.00000000	0.00597908	0.15393792	197.58348083	28.41259003	157.31004333	0.00000000	0.05466693	0.00000000	1.12591994	0.55526501	0.84036720	-0.67659426	0.92383373	0.49458501	0.01025090	15.00000000	0.00000000	12993.50000000	0.84606206	0.00000000	-0.05466693	4.44639111	28.41259003	197.58348083	7.37500000	0.41209322	0.92383373	0.92383373	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.80007690	1.00000000	0.57148349	1.00000000	0.44448718	1.00000000	0.40003845	1.00000000	0.26669231	1.00000000	0.20001923	1.00000000	0.13334616	0.73288721	1.41946375	1.06044352	1.08843005	0.06666667
0.64631581	0.68799609	0.22186577	0.23927552	9.07121944	-0.02195440	0.00765057	0.00000000	0.00000000	0.00000000	0.81544638	17.77449226	0.00000000	31.37909698	31.37909698	0.00000000	0.02195440	0.71819109	0.92963743	20.15680313	-5.69408560	7.55482197	-1.39973855	0.00000000	1.00000000	2.00000000	12993.50000000	0.18455361	-0.02195440	0.00000000	-1.50679386	-31.37909698	17.77449226	15.00000000	-5.92878056	0.00000000	-20.15680313	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95919895	1.00000000	0.68514210	1.00000000	0.53288829	1.00000000	0.47959948	1.00000000	0.31973296	1.00000000	0.23979974	0.70636684	0.15986648	1.09469950	1.06044352	1.37990260	0.00000000
