Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	speed	currentSlope	ftpSecondsSavedPerKm	currentDraftPct	currentDrafteeCount	closestDrafteeFtpSecondsSavedPerKm	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	biggestLeechInGroupFtpSecondsSavedPerKm	groupSize	ridersAheadOfGroup	raceTotalLength	pctOfRaceToFinish	negAvgSlopeCurrentDownhill	negAvgSlopeCurrentUphill	instantSlope	heightDeltaInCurrentHill	heightDeltaRemaining	terminalVelocityAtFtp	deltaToTerminalVelocity	victoryMargin	victoryOrLossMargin	distance-passed-250	distanceleft-passed-250	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	distance-passed-7500	distanceleft-passed-7500	distance-passed-10000	distanceleft-passed-10000	distance-passed-15000	distanceleft-passed-15000	aiRatingForDistanceCovered	aiRatingForMapLength	aiRatingForDistanceLeft	rankInGroup
0.87692308	0.91401070	0.47899163	0.49924955	6.44834566	0.02368545	0.00371713	0.00000000	0.00000000	0.00000000	0.30635047	83.85582733	12.31027699	129.05621338	0.00000000	0.02368545	0.00000000	0.93853343	1.00256407	12.24319363	-2.45271492	7.06315756	-0.93094152	0.00000000	1.00000000	5.00000000	12993.50000000	0.69364953	0.00000000	-0.02368545	4.47039223	12.31027699	83.85582733	7.34375000	-0.89540452	0.00000000	-12.24319363	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.88456994	1.00000000	0.79611295	1.00000000	0.53074199	1.00000000	0.39805648	0.90129352	0.26537099	0.60086232	1.27511871	1.06044352	1.12264609	0.00000000
1.02923071	1.17670953	0.56218487	0.64274055	8.15710831	0.03557933	0.00194732	0.00000000	0.00000000	0.00000000	0.31846079	131.62048340	32.36100006	147.67794800	0.00000000	0.03557933	0.00000000	1.23170376	1.09061599	0.00000000	0.17917000	4.22892857	0.39915454	0.00399466	2.00000000	0.00000000	12993.50000000	0.68153924	0.00000000	-0.03557933	5.43497229	32.36100006	131.62048340	6.46875000	1.68835819	4.22892857	4.22892857	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.91953784	1.00000000	0.82758409	1.00000000	0.55172271	1.00000000	0.41379204	0.88555795	0.27586135	0.59037197	1.26743829	1.06044352	1.12573159	0.50000000
1.34615386	1.34043634	0.73529416	0.73217112	17.01976967	-0.02957049	0.00293034	0.00000000	0.00000000	0.00000000	0.70222199	67.17181396	0.00000000	49.91428375	26.89568901	0.00000000	0.02957049	1.17059672	1.09912527	0.00000000	0.00000000	12.55698109	-0.03695939	0.00000000	1.00000000	0.00000000	12993.50000000	0.29777804	-0.02957049	0.00000000	-0.06442253	-26.89568901	67.17181396	13.06250000	3.95727038	12.55698109	12.55698109	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.85981756	1.00000000	0.77383578	1.00000000	0.51589054	0.91243213	0.38691789	0.60828805	0.25794527	1.12049937	1.06044352	1.28077066	0.00000000
0.83461541	0.87294275	0.45588237	0.47681749	9.91514206	0.02076503	0.00440753	0.00000000	0.00000000	0.00000000	0.27019548	129.77944946	10.58487129	163.17495728	0.00000000	0.02076503	0.00000000	0.82325172	0.86086458	2.91408491	-0.26233789	9.19198895	-2.13902664	0.00000000	1.00000000	15.00000000	16991.50000000	0.72980452	0.00000000	-0.02076503	2.88803267	10.58487129	129.77944946	9.12500000	0.79014170	0.00000000	-2.91408491	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.91820532	1.00000000	0.61213684	1.00000000	0.45910266	1.00000000	0.30606842	0.82669824	1.24708068	1.01702678	1.06819129	0.00000000
0.84615386	0.92555630	0.46218491	0.50555599	5.47675848	0.02303617	0.00554533	0.20666775	2.00000000	0.00379018	0.17214505	149.99137878	15.65676594	175.74842834	0.00000000	0.02303617	0.00000000	0.92778170	0.98868012	1.32390523	-0.78388226	0.77647609	0.11076563	0.00379018	4.00000000	7.00000000	16991.50000000	0.82785493	0.00000000	-0.02303617	5.50307322	15.65676594	149.99137878	6.40625000	-0.92949170	0.00000000	-1.32390523	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.83571506	1.00000000	0.65000057	1.00000000	0.58500051	1.00000000	0.39000034	1.00000000	0.29250026	1.00000000	0.19500017	0.93776649	1.33783853	1.01702678	1.04741228	0.25000000
1.10769236	1.16351664	0.60504204	0.63553429	7.63612366	0.03064728	0.00544957	0.00000000	1.00000000	0.00778049	0.76920992	47.78584671	47.78584671	31.25292587	0.00000000	0.03064728	0.00000000	1.13550568	1.09097290	0.00000000	0.00000000	0.76655322	-0.12027720	0.00778049	2.00000000	0.00000000	12993.50000000	0.23079009	0.00000000	-0.03064728	4.17545557	47.78584671	47.78584671	7.65625000	-0.02012642	0.76655322	0.76655322	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.85679173	1.00000000	0.66639358	1.00000000	0.59975421	1.00000000	0.39983615	0.99947292	0.29987711	0.66631526	0.19991808	1.10470235	1.06044352	1.33265603	0.00000000
1.09615386	1.12758112	0.59873950	0.61590564	10.90924168	0.00964003	0.00612281	0.81318480	0.00000000	0.00000000	0.49021223	72.51854706	6.26288748	82.15120697	0.00000000	0.00964003	0.00000000	1.13779056	1.01603758	0.31352270	-0.03881923	2.14891672	-0.15069138	0.00757113	4.00000000	0.00000000	12993.50000000	0.50978774	0.00000000	-0.00964003	2.32482314	6.26288748	72.51854706	9.84375000	1.06549203	2.14891672	2.14891672	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.84927636	0.88319027	0.63695729	0.66239274	0.42463818	0.44159514	1.18504632	1.06044352	1.17783749	0.75000000
1.21076918	1.21693540	0.66134453	0.66471261	7.08549452	0.03238930	0.00169400	0.00000000	1.00000000	0.00188961	0.25945577	154.69015503	54.71055222	147.00866699	0.00000000	0.03238930	0.00000000	1.14097774	1.07011449	0.00000000	0.00000000	0.65075171	0.23334755	0.00446952	5.00000000	0.00000000	12993.50000000	0.74054426	0.00000000	-0.03238930	5.16393757	54.71055222	154.69015503	6.68750000	0.39799452	0.65075171	0.65075171	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.96321094	1.00000000	0.74916410	1.00000000	0.67424768	1.00000000	0.44949844	1.00000000	0.33712384	0.96222615	0.22474922	0.64148408	1.30856311	1.06044352	1.11125970	0.00000000
0.97506678	0.84730870	0.53259951	0.46281567	16.81622696	-0.01491681	0.00548629	0.00000000	0.00000000	0.00000000	0.46989900	104.53938293	0.00000000	79.00035858	7.75286531	0.00000000	0.01491681	0.73532647	0.98083806	0.00000000	-0.43825638	2.22459006	-0.45830107	0.00516134	3.00000000	1.00000000	12993.50000000	0.53010100	-0.01491681	0.00000000	-1.86642659	-7.75286531	104.53938293	15.46875000	1.34747648	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.81408435	0.91838235	0.61056328	0.68878675	0.40704218	0.45919117	1.19288731	1.06044352	1.17068768	0.66666669
1.01025641	0.99044526	0.55182076	0.54099953	6.42311049	0.02253267	0.00551337	0.64958954	0.00000000	0.00000000	0.14793327	131.24018860	26.35004616	139.18571472	0.00000000	0.02253267	0.00000000	1.02821708	0.93598580	0.00000000	-0.35002714	8.60048771	-0.33946013	0.00505147	4.00000000	2.00000000	12993.50000000	0.85206670	0.00000000	-0.02253267	4.97477818	26.35004616	131.24018860	6.87500000	-0.45188966	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.76886845	1.00000000	0.54919171	1.00000000	0.42714912	1.00000000	0.38443422	1.00000000	0.25628948	1.00000000	0.19221711	1.00000000	0.12814474	0.73808861	1.42829204	1.06044352	1.08723128	0.75000000
1.27384615	1.21002400	0.69579834	0.66093749	9.62509251	0.02454284	0.00247057	0.00000000	0.00000000	0.00000000	0.83290631	46.09403992	31.88974190	23.01597977	0.00000000	0.02454284	0.00000000	1.20406389	1.20949423	0.00000000	0.00000000	19.50299835	-0.10164111	0.00000000	1.00000000	0.00000000	12993.50000000	0.16709372	0.00000000	-0.02454284	2.62718868	31.88974190	46.09403992	9.46875000	0.15634285	19.50299835	19.50299835	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.86845291	1.00000000	0.62032354	1.00000000	0.48247385	1.00000000	0.43422645	1.00000000	0.28948429	1.00000000	0.21711323	0.72149116	0.14474215	1.09109139	1.06044352	1.40143979	0.00000000
0.80384618	0.90995246	0.43907565	0.49703288	15.19718742	-0.01221429	0.00515011	0.00000000	0.00000000	0.00000000	0.67089331	30.29548836	0.00000000	40.71203613	9.52238464	0.00000000	0.01221429	0.55255198	0.84640062	0.00000000	-0.30126664	4.77135754	-0.49378216	0.00276302	2.00000000	6.00000000	12993.50000000	0.32910669	-0.01221429	0.00000000	-2.33230829	-9.52238464	30.29548836	16.06250000	-0.86531299	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95027733	1.00000000	0.85524958	1.00000000	0.57016641	0.87172520	0.42762479	0.58115011	0.28508320	1.12849677	1.06044352	1.26096046	0.50000000
0.82948720	0.78396916	0.45308125	0.42821845	7.60565090	0.02210715	0.00495597	0.00000000	0.00000000	0.00000000	0.19695033	134.69157410	3.75633645	174.18545532	0.00000000	0.02210715	0.00000000	0.80479920	0.94687718	4.41579342	-1.30497217	5.76889229	-0.91284508	0.00000000	1.00000000	12.00000000	16991.50000000	0.80304968	0.00000000	-0.02210715	2.54207826	3.75633645	134.69157410	9.56250000	-1.95684886	0.00000000	-4.41579342	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95613760	1.00000000	0.74366260	1.00000000	0.66929632	1.00000000	0.44619754	1.00000000	0.33464816	1.00000000	0.22309877	0.90966791	1.31006694	1.01702678	1.05238938	0.00000000
1.29692304	1.24099171	0.70840335	0.67785263	10.75973415	0.04252718	0.00230414	0.00000000	0.00000000	0.00000000	0.89306659	36.53642273	22.10307884	23.01597977	0.00000000	0.04252718	0.00000000	1.18123651	1.23916221	0.00000000	0.00000000	20.92612648	-0.85670835	0.00000000	1.00000000	0.00000000	12993.50000000	0.10693340	0.00000000	-0.04252718	5.66639328	22.10307884	36.53642273	6.26562500	4.49410915	20.92612648	20.92612648	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.92629278	1.00000000	0.55577564	1.00000000	0.39698261	1.00000000	0.30876425	1.00000000	0.27788782	1.00000000	0.18525855	1.00000000	0.13894391	0.77360404	0.09262928	1.07929802	1.06044352	1.50238693	0.00000000
1.06262982	0.99248248	0.58042806	0.54211229	10.02743816	0.02374319	0.00598571	0.00000000	1.00000000	0.00488960	0.28398225	124.50341797	18.51042938	133.46478271	0.00000000	0.02374319	0.00000000	1.05934262	1.07159734	8.31688499	0.23984630	0.35683888	0.06587249	0.00488960	2.00000000	1.00000000	12993.50000000	0.71601772	0.00000000	-0.02374319	2.09591389	18.51042938	124.50341797	10.12500000	-0.09756225	0.00000000	-8.31688499	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.81998295	1.00000000	0.73798466	1.00000000	0.49198979	1.00000000	0.36899233	0.93035764	0.24599490	0.62023842	1.29027343	1.06044352	1.11710739	0.00000000
1.08785987	1.04639924	0.59420919	0.57156265	9.25269794	0.03695828	0.00435360	0.00000000	0.00000000	0.00000000	0.62665957	99.65515137	33.61522293	54.83583450	0.00000000	0.03695828	0.00000000	1.07289505	0.97825694	14.35468388	0.26556119	0.00000000	0.06700774	0.00542617	2.00000000	0.00000000	12993.50000000	0.37334043	0.00000000	-0.03695828	5.49691391	33.61522293	99.65515137	6.40625000	2.84644842	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.97019976	1.00000000	0.64679980	0.81425011	0.48509988	0.54283345	0.32339990	1.14055526	1.06044352	1.23642242	0.00000000
0.93944788	1.03476405	0.51314384	0.56520724	11.15492439	0.02240840	0.00639125	0.00000000	0.00000000	0.00000000	0.26596275	129.36953735	23.29307938	135.38459778	0.00000000	0.02240840	0.00000000	1.05070198	1.08296621	6.19099331	-1.16806507	0.00000000	0.00264161	0.00447660	2.00000000	1.00000000	12993.50000000	0.73403728	0.00000000	-0.02240840	0.82040346	23.29307938	129.36953735	11.84375000	-0.68882531	0.00000000	-6.19099331	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.98736769	1.00000000	0.76795268	1.00000000	0.69115740	1.00000000	0.46077159	1.00000000	0.34557870	0.95377129	0.23038580	0.63584751	1.30352187	1.06044352	1.11278903	0.00000000
1.01076925	1.01970458	0.55210084	0.55698150	5.70048189	0.05219542	0.00252714	0.00000000	0.00000000	0.00000000	0.17391947	182.72451782	13.56402397	157.30839539	0.00000000	0.05219542	0.00000000	0.97109991	0.73908377	0.00000000	0.00000000	2.09827280	-0.40831843	0.00000000	1.00000000	0.00000000	12993.50000000	0.82608056	0.00000000	-0.05219542	5.85286093	13.56402397	182.72451782	6.10937500	-0.40889317	2.09827280	2.09827280	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.90392900	1.00000000	0.64566356	1.00000000	0.50218278	1.00000000	0.45196450	1.00000000	0.30130967	1.00000000	0.22598225	1.00000000	0.15065484	0.71557850	1.39272332	1.06044352	1.09249139	0.00000000
1.47435892	1.46991706	0.80532211	0.80289590	11.98088074	-0.02189878	0.00477851	0.00000000	0.00000000	0.00000000	0.88934165	0.00000000	0.00000000	31.29959488	31.29959488	0.00000000	0.02189878	1.65702188	1.17104566	3.62876081	1.28713369	8.34099102	3.37610483	0.00000000	1.00000000	1.00000000	12993.50000000	0.11065836	-0.02189878	0.00000000	1.71944702	-31.29959488	-31.29959488	10.62500000	1.35588109	0.00000000	-3.62876081	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95855957	1.00000000	0.57513577	1.00000000	0.41081125	1.00000000	0.31951985	1.00000000	0.28756788	1.00000000	0.19171192	1.00000000	0.14378394	0.77037740	0.09585596	1.08000124	1.06044352	1.49439168	0.00000000
1.00256407	0.97109485	0.54761904	0.53042996	16.49672127	-0.01089497	0.00588403	0.35313928	0.00000000	0.00000000	0.89211524	16.38105965	0.00000000	5.66254997	5.66254997	0.00000000	0.01089497	0.91409057	0.90282989	0.67483276	0.25728157	5.07095814	-0.26518330	0.00000000	1.00000000	7.00000000	12993.50000000	0.10788476	-0.01089497	0.00000000	-1.44949293	-5.66254997	16.38105965	14.90625000	1.59047055	0.00000000	-0.67483276	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.93453383	1.00000000	0.56072026	1.00000000	0.40051448	1.00000000	0.31151128	1.00000000	0.28036013	1.00000000	0.18690677	1.00000000	0.14018007	0.77277994	0.09345338	1.07947731	1.06044352	1.50031459	0.00000000
1.28615379	1.30545104	0.70252103	0.71306151	10.66028976	0.03871944	0.00167084	0.40057898	0.00000000	0.00000000	0.30445325	137.40304565	40.24808121	148.54295349	0.00000000	0.03871944	0.00000000	1.14255929	1.07598042	0.67253369	-0.12058721	2.34722829	0.82080686	0.00417845	2.00000000	0.00000000	12993.50000000	0.69554675	0.00000000	-0.03871944	1.81486917	40.24808121	137.40304565	10.50000000	0.16028950	2.34722829	2.34722829	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.87909192	1.00000000	0.79118270	1.00000000	0.52745515	1.00000000	0.39559135	0.90375865	0.26372758	0.60250574	1.27635372	1.06044352	1.12216830	0.50000000
0.85512823	0.99530876	0.46708685	0.54365605	7.86729717	0.03103637	0.00538480	0.00000000	1.00000000	0.00660399	0.26041120	94.97321320	4.03271103	123.10229492	0.00000000	0.03103637	0.00000000	0.98100889	1.08880126	2.08256602	0.18714899	0.00000000	-0.40887886	0.00660399	4.00000000	1.00000000	12993.50000000	0.73958880	0.00000000	-0.03103637	3.34802747	4.03271103	94.97321320	8.59375000	-0.72645289	0.00000000	-2.08256602	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.96675801	1.00000000	0.75192291	1.00000000	0.67673063	1.00000000	0.45115376	1.00000000	0.33836532	0.96098471	0.22557688	0.64065647	1.30781376	1.06044352	1.11148322	0.00000000
1.65128207	1.64438725	0.90196085	0.89819473	11.84285831	0.01849424	0.00483650	0.00000000	0.00000000	0.00000000	0.87868005	2.40304923	2.40304923	31.06523323	0.00000000	0.01849424	0.00000000	1.47150993	1.14619207	5.27180815	1.25301242	5.08411741	3.52473664	0.00000000	1.00000000	1.00000000	12993.50000000	0.12131992	0.00000000	-0.01849424	1.92961407	2.40304923	2.40304923	10.34375000	1.49910831	0.00000000	-5.27180815	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.63054818	1.00000000	0.45039156	1.00000000	0.35030454	1.00000000	0.31527409	1.00000000	0.21018273	1.00000000	0.15763704	0.76114196	0.10509136	1.08203292	1.06044352	1.47312403	0.00000000
1.34615386	1.30725968	0.73529416	0.71404940	15.44492912	-0.03324036	0.00289593	0.00000000	0.00000000	0.00000000	0.71056736	67.52993011	0.00000000	51.29701233	25.91451836	0.00000000	0.03324036	1.18183756	1.09743345	0.00000000	0.00000000	12.96593571	-1.90239668	0.00000000	1.00000000	0.00000000	12993.50000000	0.28943267	-0.03324036	0.00000000	-0.06442253	-25.91451836	67.52993011	13.06250000	2.38242888	12.96593571	12.96593571	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.83572072	1.00000000	0.75214869	1.00000000	0.50143242	0.92327565	0.37607434	0.61551714	0.25071621	1.11843836	1.06044352	1.28645658	0.00000000
0.86227369	0.95153409	0.47098985	0.51974553	14.16601658	-0.01481841	0.00491587	0.00000000	1.00000000	0.00543768	0.55352813	104.70366669	0.00000000	64.28371429	11.55258369	0.00000000	0.01481841	0.98818809	0.98132753	16.44214821	0.71963012	0.00000000	0.00994169	0.00543768	3.00000000	1.00000000	12993.50000000	0.44647187	-0.01481841	0.00000000	-2.74768686	-11.55258369	104.70366669	16.59375000	-2.42773318	0.00000000	-16.44214821	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95896900	0.77349764	0.71922678	0.58012325	0.47948450	0.38674882	1.16282499	1.06044352	1.20243192	0.00000000
