Right Answer	Predicted Answer	Norm Right Answer	Norm Predicted Answer	speed	currentSlope	ftpSecondsSavedPerKm	currentDraftPct	currentDrafteeCount	closestDrafteeFtpSecondsSavedPerKm	pctOfRaceComplete	metersLeftToClimb	metersLeftToClimbCurrentUphill	metersLeftToDescend	metersLeftToDescentCurrentDownhill	avgSlopeCurrentUphill	avgSlopeCurrentDownhill	last30SecPctFtp	last5MinPctFtp	gapToGroupAhead	closeRateGroupAhead	gapToGroupBehind	closeRateGroupBehind	biggestLeechInGroupFtpSecondsSavedPerKm	groupSize	ridersAheadOfGroup	raceTotalLength	pctOfRaceToFinish	negAvgSlopeCurrentDownhill	negAvgSlopeCurrentUphill	instantSlope	heightDeltaInCurrentHill	heightDeltaRemaining	terminalVelocityAtFtp	deltaToTerminalVelocity	victoryMargin	victoryOrLossMargin	distance-passed-250	distanceleft-passed-250	distance-passed-500	distanceleft-passed-500	distance-passed-1000	distanceleft-passed-1000	distance-passed-1500	distanceleft-passed-1500	distance-passed-2500	distanceleft-passed-2500	distance-passed-3500	distanceleft-passed-3500	distance-passed-4500	distanceleft-passed-4500	distance-passed-5000	distanceleft-passed-5000	distance-passed-7500	distanceleft-passed-7500	distance-passed-10000	distanceleft-passed-10000	distance-passed-15000	distanceleft-passed-15000	aiRatingForDistanceCovered	aiRatingForMapLength	aiRatingForDistanceLeft	rankInGroup
1.16855299	1.23707390	0.36458853	0.38596708	13.47410583	-0.04453413	0.00142009	0.00000000	0.00000000	0.00000000	0.22835755	181.19783020	0.00000000	294.38278198	44.51185989	0.00000000	0.04453413	1.04097557	0.96010834	5.65304899	-1.55733347	2.00393867	1.49010444	0.00000000	1.00000000	6.00000000	19990.00000000	0.77164245	-0.04453413	0.00000000	-5.19608307	-44.51185989	181.19783020	19.57812500	-6.10401917	0.00000000	-5.65304899	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.91297352	1.00000000	0.60864902	1.00000000	0.45648676	1.00000000	0.30432451	1.00000000	1.24819160	0.99159348	1.03247070	0.00000000
0.96097016	1.05205965	0.29982269	0.32824260	16.52993965	-0.05786232	0.00439016	0.79987204	0.00000000	0.00000000	0.35745057	105.35359955	0.00000000	124.59695435	23.13335419	0.00000000	0.05786232	1.16181850	1.11287236	0.00000000	0.09027132	5.88046026	2.27840567	0.00259930	2.00000000	0.00000000	9995.00000000	0.64254946	-0.05786232	0.00000000	-5.78623152	-23.13335419	105.35359955	20.25000000	-3.72005987	5.88046026	5.88046026	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.79393744	1.00000000	0.71454370	1.00000000	0.47636247	0.85630423	0.35727185	0.64222813	0.23818123	0.42815211	1.29677987	1.10469770	1.18352544	0.50000000
0.38673660	0.42424795	0.12066182	0.13236536	9.89645767	0.00000000	0.00232455	0.00000000	0.00000000	0.00000000	0.99654096	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.96459806	1.02429914	10.77112579	-2.95560312	4.06822920	-1.34777534	0.00000000	1.00000000	0.00000000	19990.00000000	0.00345903	0.00000000	0.00000000	0.42465588	0.00000000	0.00000000	12.37500000	-2.47854233	4.06822920	4.06822920	1.00000000	0.27658397	1.00000000	0.13829198	1.00000000	0.06914599	1.00000000	0.04609733	1.00000000	0.02765840	1.00000000	0.01975600	1.00000000	0.01536578	1.00000000	0.01382920	1.00000000	0.00921947	1.00000000	0.00691460	1.00000000	0.00460973	0.99212903	0.99159348	2.39795423	0.00000000
1.42300880	1.30169785	0.44397876	0.40612972	9.39291286	0.03501065	0.00117056	0.00000000	0.00000000	0.00000000	0.06882955	169.24737549	36.74280167	198.99601746	0.00000000	0.03501065	0.00000000	1.32604063	1.04612195	0.00000000	0.00000000	1.94609571	1.04651058	0.00000000	1.00000000	0.00000000	14992.50000000	0.93117046	0.00000000	-0.03501065	2.99573040	36.74280167	169.24737549	9.00000000	0.39291263	1.94609571	1.94609571	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.68795139	1.00000000	0.41277081	1.00000000	0.29483631	1.00000000	0.22931713	1.00000000	0.20638540	1.00000000	0.13759027	1.00000000	0.10319270	1.00000000	0.06879514	0.93070489	1.57367003	1.03705788	1.04864669	0.00000000
0.43800753	0.45617995	0.13665836	0.14232814	11.65496349	-0.02401843	0.00159344	0.00000000	0.00000000	0.00000000	0.88194913	15.56965351	0.00000000	37.39268112	33.60899734	0.00000000	0.02401843	0.43344650	0.60849184	33.07368088	-3.92675352	7.75487471	-0.97426552	0.00000000	1.00000000	11.00000000	19990.00000000	0.11805086	-0.02401843	0.00000000	-3.90999508	-33.60899734	15.56965351	18.06250000	-6.40753651	0.00000000	-33.07368088	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.94393468	1.00000000	0.67423904	1.00000000	0.52440816	1.00000000	0.47196734	1.00000000	0.31464490	1.00000000	0.23598367	1.00000000	0.15732245	1.01119578	0.99159348	1.38335633	0.00000000
1.01430035	1.02167594	0.31646171	0.31876290	5.50033951	0.05677678	0.00023329	0.00000000	0.00000000	0.00000000	0.32811949	143.57893372	34.04903412	145.27664185	0.00000000	0.05677678	0.00000000	1.02503777	0.96729630	0.00000000	0.00000000	3.73665714	-1.48698616	0.00000000	1.00000000	0.00000000	14992.50000000	0.67188048	0.00000000	-0.05677678	5.76490879	34.04903412	143.57893372	6.18750000	-0.68716073	3.73665714	3.73665714	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.98386633	1.00000000	0.65591091	1.00000000	0.49193317	1.00000000	0.32795545	0.67154455	1.23373020	1.03705788	1.10335743	0.00000000
1.03747046	0.96422249	0.32369077	0.30083743	14.84779644	-0.02064541	0.00448310	0.00000000	1.00000000	0.00397822	0.52200907	86.76669312	0.00000000	29.58344269	15.47631741	0.00000000	0.02064541	0.99081862	0.97851062	15.73222637	-0.93800288	0.00000000	-0.52844542	0.00675555	3.00000000	0.00000000	14992.50000000	0.47799096	-0.02064541	0.00000000	-1.05239034	-15.47631741	86.76669312	14.37500000	0.47279617	0.00000000	0.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.95550388	0.78262210	0.71662790	0.52174807	0.47775194	1.14761841	1.03705788	1.16348112	0.00000000
1.02787900	1.03657937	0.32069826	0.32341278	7.97663212	0.02740921	0.00031652	0.00000000	0.00000000	0.00000000	0.07704046	308.86181641	10.95820045	167.13241577	0.00000000	0.02740921	0.00000000	1.01605260	0.79511082	0.00000000	0.00000000	1.27837837	-0.87450653	0.00019074	2.00000000	0.00000000	19990.00000000	0.92295951	0.00000000	-0.02740921	2.74092054	10.95820045	308.86181641	9.31250000	-1.33586764	1.27837837	1.27837837	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.61601555	1.00000000	0.44001111	1.00000000	0.34223089	1.00000000	0.30800778	1.00000000	0.20533852	1.00000000	0.15400389	1.00000000	0.10266926	1.00000000	1.47848654	0.99159348	1.00405908	0.00000000
1.30973446	1.29184949	0.40863717	0.40305704	17.09955788	-0.02703979	0.00286017	0.00000000	0.00000000	0.00000000	0.79326516	24.69781113	0.00000000	57.61584854	32.43152237	0.00000000	0.02703979	1.16214192	1.09595621	7.42602682	-0.31905186	5.35782051	1.13980448	0.00000000	1.00000000	3.00000000	14992.50000000	0.20673482	-0.02703979	0.00000000	-4.55598116	-32.43152237	24.69781113	18.81250000	-1.71294260	0.00000000	-7.42602682	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.88556337	1.00000000	0.68877155	1.00000000	0.61989439	1.00000000	0.41326293	1.00000000	0.30994719	0.79286855	0.20663147	1.07516897	1.03705788	1.32581449	0.00000000
0.86145633	0.86242515	0.26877439	0.26907665	16.17048454	-0.04715460	0.00758164	0.00000000	0.00000000	0.00000000	0.37427261	131.06539917	0.00000000	144.93872070	21.20895958	0.00000000	0.04715460	0.87866223	0.88265854	5.73368359	-1.52261627	4.89106607	0.67226857	0.00000000	1.00000000	9.00000000	14992.50000000	0.62572736	-0.04715460	0.00000000	-5.33689642	-21.20895958	131.06539917	19.75000000	-3.57951546	0.00000000	-5.73368359	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.74817097	1.00000000	0.56112820	0.93812180	0.37408549	0.62541449	1.20868611	1.03705788	1.11566162	0.00000000
0.71136260	0.69199663	0.22194514	0.21590295	16.48009682	-0.00889336	0.00503692	0.87206680	0.00000000	0.00000000	0.16334601	150.21916199	0.00000000	117.00613403	4.00001287	0.00000000	0.00889336	0.67982334	0.88995528	0.00000000	-0.44974878	11.01824284	0.01458553	0.00695815	4.00000000	0.00000000	14992.50000000	0.83665401	-0.00889336	0.00000000	-3.75082755	-4.00001287	150.21916199	17.84375000	-1.36365330	11.01824284	11.01824284	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.97958601	1.00000000	0.69970429	1.00000000	0.54421443	1.00000000	0.48979300	1.00000000	0.32652867	1.00000000	0.24489650	1.00000000	0.16326433	0.83623564	1.37538755	1.03705788	1.06628358	0.75000000
0.98152053	1.02404213	0.30623442	0.31950116	13.68211842	-0.00257082	0.00157771	0.00000000	0.00000000	0.00000000	0.76512855	35.63391113	0.00000000	39.33059311	0.38543028	0.00000000	0.00257082	1.07889295	1.13301837	0.00000000	0.00000000	18.95868874	0.77984971	0.00000000	1.00000000	0.00000000	14992.50000000	0.23487145	-0.00257082	0.00000000	-0.99962360	-0.38543028	35.63391113	14.31250000	-0.63038123	18.95868874	18.95868874	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.78251332	1.00000000	0.70426202	1.00000000	0.46950802	1.00000000	0.35213101	0.76474601	0.23475401	1.08123672	1.03705788	1.29971206	0.00000000
1.12323272	1.23245037	0.35044861	0.38452452	10.31166553	0.02891402	0.00000000	0.00000000	0.00000000	0.00000000	0.88241994	22.09776497	5.77991199	20.60597610	0.00000000	0.02891402	0.00000000	1.27726614	1.15738678	0.00000000	0.00000000	38.44985580	-1.75927007	0.00000000	1.00000000	0.00000000	9995.00000000	0.11758006	0.00000000	-0.02891402	2.89140153	5.77991199	22.09776497	9.12500000	1.18666530	38.44985580	38.44985580	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.78347510	1.00000000	0.47008505	1.00000000	0.33577505	1.00000000	0.26115838	1.00000000	0.23504253	1.00000000	0.15669502	0.88197875	0.11752126	0.58798581	0.07834751	1.12644231	1.10469770	1.54210627	0.00000000
0.66061229	0.63892031	0.20611103	0.19934314	15.91736126	-0.02754012	0.00183214	0.00000000	0.00000000	0.00000000	0.55327576	135.31530762	0.00000000	60.03141403	16.51580811	0.00000000	0.02754012	0.64196092	0.91290289	0.00000000	0.00000000	4.61830378	-1.56629038	0.00000000	1.00000000	0.00000000	19990.00000000	0.44672421	-0.02754012	0.00000000	-3.59818578	-16.51580811	135.31530762	17.65625000	-1.73888826	4.61830378	4.61830378	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.89300168	0.73733222	0.59533447	1.08740497	0.99159348	1.12426412	0.00000000
0.77876109	0.75567913	0.24297346	0.23577189	11.51106262	-0.03202846	0.00246544	0.00000000	0.00000000	0.00000000	0.92315775	0.65998507	0.00000000	24.00933647	24.00933647	0.00000000	0.03202846	0.83238786	0.99019581	7.78045559	-1.18155003	5.38432312	-0.09451855	0.00000000	1.00000000	5.00000000	14992.50000000	0.07684226	-0.03202846	0.00000000	-0.77869046	-24.00933647	0.65998507	14.03125000	-2.52018762	0.00000000	-7.78045559	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	1.00000000	0.76803833	1.00000000	0.46082300	1.00000000	0.32915929	1.00000000	0.25601277	1.00000000	0.23041150	1.00000000	0.15360767	1.00000000	0.11520575	0.92269617	0.07680383	1.05005991	1.03705788	1.54689574	0.00000000
